Index;File1_Sentences;File2_Sentences;File1_Frequency;File2_Frequency
270;И давайте поблагодарим тружеников села за результаты работы в этом году.;Так вот уже с 1 марта 2024 года предлагаю вдвое увеличить таким специалистам федеральную выплату за классное руководство и кураторство группами до 10 тысяч рублей.;Counter({'и': 1, 'давайте': 1, 'поблагодарим': 1, 'тружеников': 1, 'села': 1, 'за': 1, 'результаты': 1, 'работы': 1, 'в': 1, 'этом': 1, 'году': 1});Counter({'так': 1, 'вот': 1, 'уже': 1, 'с': 1, '1': 1, 'марта': 1, '2024': 1, 'года': 1, 'предлагаю': 1, 'вдвое': 1, 'увеличить': 1, 'таким': 1, 'специалистам': 1, 'федеральную': 1, 'выплату': 1, 'за': 1, 'классное': 1, 'руководство': 1, 'и': 1, 'кураторство': 1, 'группами': 1, 'до': 1, '10': 1, 'тысяч': 1, 'рублей': 1})
271;(Аплодисменты.);Что ещё хотел бы добавить?;Counter({'аплодисменты': 1});Counter({'что': 1, 'ещё': 1, 'хотел': 1, 'бы': 1, 'добавить': 1})
272;Мы также должны снять критическую зависимость от зарубежных технологий и промышленной продукции, в том числе имею в виду станко- и приборостроение, энергетическое машиностроение, оборудование для освоения месторождений и арктического шельфа.;В 2018 году майскими указами были установлены требования по оплате труда учителей, других работников бюджетной сферы исходя из среднемесячного дохода от трудовой деятельности в конкретном субъекте Федерации.;Counter({'и': 3, 'в': 2, 'мы': 1, 'также': 1, 'должны': 1, 'снять': 1, 'критическую': 1, 'зависимость': 1, 'от': 1, 'зарубежных': 1, 'технологий': 1, 'промышленной': 1, 'продукции': 1, 'том': 1, 'числе': 1, 'имею': 1, 'виду': 1, 'приборостроение': 1, 'энергетическое': 1, 'машиностроение': 1, 'оборудование': 1, 'для': 1, 'освоения': 1, 'месторождений': 1, 'арктического': 1, 'шельфа': 1});Counter({'в': 2, '2018': 1, 'году': 1, 'майскими': 1, 'указами': 1, 'были': 1, 'установлены': 1, 'требования': 1, 'по': 1, 'оплате': 1, 'труда': 1, 'учителей': 1, 'других': 1, 'работников': 1, 'бюджетной': 1, 'сферы': 1, 'исходя': 1, 'из': 1, 'среднемесячного': 1, 'дохода': 1, 'от': 1, 'трудовой': 1, 'деятельности': 1, 'конкретном': 1, 'субъекте': 1, 'федерации': 1})
273;И здесь нашим промышленникам могут серьёзно помочь отечественные сырьевые и инфраструктурные компании.;Эти положения так называемых майских указов и впредь должны строго выполняться.;Counter({'и': 2, 'здесь': 1, 'нашим': 1, 'промышленникам': 1, 'могут': 1, 'серьёзно': 1, 'помочь': 1, 'отечественные': 1, 'сырьевые': 1, 'инфраструктурные': 1, 'компании': 1});Counter({'эти': 1, 'положения': 1, 'так': 1, 'называемых': 1, 'майских': 1, 'указов': 1, 'и': 1, 'впредь': 1, 'должны': 1, 'строго': 1, 'выполняться': 1})
274;При реализации крупных нефтяных, энергетических, транспортных проектов они должны ориентироваться на отечественного производителя, формировать спрос на его продукцию.;При этом надо совершенствовать систему оплаты труда в бюджетной сфере, добиваться роста доходов, занятых здесь специалистов.;Counter({'на': 2, 'при': 1, 'реализации': 1, 'крупных': 1, 'нефтяных': 1, 'энергетических': 1, 'транспортных': 1, 'проектов': 1, 'они': 1, 'должны': 1, 'ориентироваться': 1, 'отечественного': 1, 'производителя': 1, 'формировать': 1, 'спрос': 1, 'его': 1, 'продукцию': 1});Counter({'при': 1, 'этом': 1, 'надо': 1, 'совершенствовать': 1, 'систему': 1, 'оплаты': 1, 'труда': 1, 'в': 1, 'бюджетной': 1, 'сфере': 1, 'добиваться': 1, 'роста': 1, 'доходов': 1, 'занятых': 1, 'здесь': 1, 'специалистов': 1})
275;Пока зачастую получается ровно наоборот: купили всё за рубежом, а для собственной индустрии, науки - результат, как правило, нулевой.;Уровень средних зарплат по экономике в регионах разный, а значит, и доходы работников бюджетной сферы даже в соседних субъектах Федерации порой заметно отличаются.;Counter({'пока': 1, 'зачастую': 1, 'получается': 1, 'ровно': 1, 'наоборот': 1, 'купили': 1, 'всё': 1, 'за': 1, 'рубежом': 1, 'а': 1, 'для': 1, 'собственной': 1, 'индустрии': 1, 'науки': 1, 'результат': 1, 'как': 1, 'правило': 1, 'нулевой': 1});Counter({'в': 2, 'уровень': 1, 'средних': 1, 'зарплат': 1, 'по': 1, 'экономике': 1, 'регионах': 1, 'разный': 1, 'а': 1, 'значит': 1, 'и': 1, 'доходы': 1, 'работников': 1, 'бюджетной': 1, 'сферы': 1, 'даже': 1, 'соседних': 1, 'субъектах': 1, 'федерации': 1, 'порой': 1, 'заметно': 1, 'отличаются': 1})
276;Предлагаю создать в рамках Правительства специальный координационный центр, повысить роль Правительства по этому направлению.;При этом работа учителя или врача везде одинаково сложная и крайне ответственная.;Counter({'правительства': 2, 'предлагаю': 1, 'создать': 1, 'в': 1, 'рамках': 1, 'специальный': 1, 'координационный': 1, 'центр': 1, 'повысить': 1, 'роль': 1, 'по': 1, 'этому': 1, 'направлению': 1});Counter({'при': 1, 'этом': 1, 'работа': 1, 'учителя': 1, 'или': 1, 'врача': 1, 'везде': 1, 'одинаково': 1, 'сложная': 1, 'и': 1, 'крайне': 1, 'ответственная': 1})
277;Задача центра - увязать реализацию крупных проектов с размещением заказов на российских предприятиях, с развитием отечественной производственной и исследовательской базы, с локализацией технологий.;Такой большой разброс в зарплатах от региона к региону несправедлив, безусловно.;Counter({'с': 3, 'задача': 1, 'центра': 1, 'увязать': 1, 'реализацию': 1, 'крупных': 1, 'проектов': 1, 'размещением': 1, 'заказов': 1, 'на': 1, 'российских': 1, 'предприятиях': 1, 'развитием': 1, 'отечественной': 1, 'производственной': 1, 'и': 1, 'исследовательской': 1, 'базы': 1, 'локализацией': 1, 'технологий': 1});Counter({'такой': 1, 'большой': 1, 'разброс': 1, 'в': 1, 'зарплатах': 1, 'от': 1, 'региона': 1, 'к': 1, 'региону': 1, 'несправедлив': 1, 'безусловно': 1})
278;(Аплодисменты.);Понимаю, что проблема давняя, очень сложная, капиталоёмкая, если так можно сказать.;Counter({'аплодисменты': 1});Counter({'понимаю': 1, 'что': 1, 'проблема': 1, 'давняя': 1, 'очень': 1, 'сложная': 1, 'капиталоёмкая': 1, 'если': 1, 'так': 1, 'можно': 1, 'сказать': 1})
279;Что касается импорта, то за рубежом должны приобретаться действительно уникальное оборудование и технологии.;Обсуждали её и с коллегами из федеральных ведомств, с руководителями регионов, учителями, врачами, другими специалистами.;Counter({'что': 1, 'касается': 1, 'импорта': 1, 'то': 1, 'за': 1, 'рубежом': 1, 'должны': 1, 'приобретаться': 1, 'действительно': 1, 'уникальное': 1, 'оборудование': 1, 'и': 1, 'технологии': 1});Counter({'с': 2, 'обсуждали': 1, 'её': 1, 'и': 1, 'коллегами': 1, 'из': 1, 'федеральных': 1, 'ведомств': 1, 'руководителями': 1, 'регионов': 1, 'учителями': 1, 'врачами': 1, 'другими': 1, 'специалистами': 1})
280;Добавлю, что на отечественных производителей следует ориентироваться и при обновлении жилищно-коммунального хозяйства, общественного транспорта, сельского хозяйства, других отраслей.;Безусловно, её нужно решать.;Counter({'хозяйства': 2, 'добавлю': 1, 'что': 1, 'на': 1, 'отечественных': 1, 'производителей': 1, 'следует': 1, 'ориентироваться': 1, 'и': 1, 'при': 1, 'обновлении': 1, 'общественного': 1, 'транспорта': 1, 'сельского': 1, 'других': 1, 'отраслей': 1});Counter({'безусловно': 1, 'её': 1, 'нужно': 1, 'решать': 1})
281;Также поручаю Правительству принять все необходимые решения, расширяющие доступ малых и средних предприятий к закупкам госкомпаний, в том числе чётко определить обязательный годовой объём закупок госкомпаний у малого и среднего бизнеса.;Я сейчас не буду вдаваться в детали, но она действительно сложна.;Counter({'и': 2, 'госкомпаний': 2, 'также': 1, 'поручаю': 1, 'правительству': 1, 'принять': 1, 'все': 1, 'необходимые': 1, 'решения': 1, 'расширяющие': 1, 'доступ': 1, 'малых': 1, 'средних': 1, 'предприятий': 1, 'к': 1, 'закупкам': 1, 'в': 1, 'том': 1, 'числе': 1, 'чётко': 1, 'определить': 1, 'обязательный': 1, 'годовой': 1, 'объём': 1, 'закупок': 1, 'у': 1, 'малого': 1, 'среднего': 1, 'бизнеса': 1});Counter({'я': 1, 'сейчас': 1, 'не': 1, 'буду': 1, 'вдаваться': 1, 'в': 1, 'детали': 1, 'но': 1, 'она': 1, 'действительно': 1, 'сложна': 1})
282;Это десятки и сотни миллиардов рублей, которые должны стать источником развития для отечественного предпринимательства.;И депутаты, и члены Правительства понимают, о чём я говорю.;Counter({'это': 1, 'десятки': 1, 'и': 1, 'сотни': 1, 'миллиардов': 1, 'рублей': 1, 'которые': 1, 'должны': 1, 'стать': 1, 'источником': 1, 'развития': 1, 'для': 1, 'отечественного': 1, 'предпринимательства': 1});Counter({'и': 2, 'депутаты': 1, 'члены': 1, 'правительства': 1, 'понимают': 1, 'о': 1, 'чём': 1, 'я': 1, 'говорю': 1})
283;(Аплодисменты.);Просто прошу Правительство уже в 2025 году отработать новую модель оплаты труда бюджетников в рамках пилотных проектов в субъектах Федерации, а в 2026 году принять окончательное решение для всей страны.;Counter({'аплодисменты': 1});Counter({'в': 4, 'году': 2, 'просто': 1, 'прошу': 1, 'правительство': 1, 'уже': 1, '2025': 1, 'отработать': 1, 'новую': 1, 'модель': 1, 'оплаты': 1, 'труда': 1, 'бюджетников': 1, 'рамках': 1, 'пилотных': 1, 'проектов': 1, 'субъектах': 1, 'федерации': 1, 'а': 1, '2026': 1, 'принять': 1, 'окончательное': 1, 'решение': 1, 'для': 1, 'всей': 1, 'страны': 1})
284;Естественно, что продукция наших поставщиков должна отвечать жёстким условиям как по качеству, так и по цене.;Отдельный вопрос – это создание дополнительной мотивации для молодых специалистов, чтобы они приходили работать в школу и видели здесь перспективу для профессионального и карьерного роста.;Counter({'по': 2, 'естественно': 1, 'что': 1, 'продукция': 1, 'наших': 1, 'поставщиков': 1, 'должна': 1, 'отвечать': 1, 'жёстким': 1, 'условиям': 1, 'как': 1, 'качеству': 1, 'так': 1, 'и': 1, 'цене': 1});Counter({'для': 2, 'и': 2, 'отдельный': 1, 'вопрос': 1, 'это': 1, 'создание': 1, 'дополнительной': 1, 'мотивации': 1, 'молодых': 1, 'специалистов': 1, 'чтобы': 1, 'они': 1, 'приходили': 1, 'работать': 1, 'в': 1, 'школу': 1, 'видели': 1, 'здесь': 1, 'перспективу': 1, 'профессионального': 1, 'карьерного': 1, 'роста': 1})
285;Кроме того, нельзя допускать и внутреннего монополизма.;При этом целевым образом выделим более 9 миллиардов рублей из федерального бюджета на обновление инфраструктуры педагогических вузов.;Counter({'кроме': 1, 'того': 1, 'нельзя': 1, 'допускать': 1, 'и': 1, 'внутреннего': 1, 'монополизма': 1});Counter({'при': 1, 'этом': 1, 'целевым': 1, 'образом': 1, 'выделим': 1, 'более': 1, '9': 1, 'миллиардов': 1, 'рублей': 1, 'из': 1, 'федерального': 1, 'бюджета': 1, 'на': 1, 'обновление': 1, 'инфраструктуры': 1, 'педагогических': 1, 'вузов': 1})
286;Подчеркну: разумное, именно разумное, импортозамещение - это наш долгосрочный приоритет, независимо от внешних обстоятельств.;Наше школьное образование всегда славилось новаторами, уникальными авторскими методиками.;Counter({'разумное': 2, 'подчеркну': 1, 'именно': 1, 'импортозамещение': 1, 'это': 1, 'наш': 1, 'долгосрочный': 1, 'приоритет': 1, 'независимо': 1, 'от': 1, 'внешних': 1, 'обстоятельств': 1});Counter({'наше': 1, 'школьное': 1, 'образование': 1, 'всегда': 1, 'славилось': 1, 'новаторами': 1, 'уникальными': 1, 'авторскими': 1, 'методиками': 1})
287;Более того, программы импортозамещения должны работать на создание в России массового слоя производственных компаний, способных быть конкурентными не только внутри страны, но и на международных рынках.;Именно таким учительским командам предстоит принять участие в создании перспективных школ.;Counter({'на': 2, 'более': 1, 'того': 1, 'программы': 1, 'импортозамещения': 1, 'должны': 1, 'работать': 1, 'создание': 1, 'в': 1, 'россии': 1, 'массового': 1, 'слоя': 1, 'производственных': 1, 'компаний': 1, 'способных': 1, 'быть': 1, 'конкурентными': 1, 'не': 1, 'только': 1, 'внутри': 1, 'страны': 1, 'но': 1, 'и': 1, 'международных': 1, 'рынках': 1});Counter({'именно': 1, 'таким': 1, 'учительским': 1, 'командам': 1, 'предстоит': 1, 'принять': 1, 'участие': 1, 'в': 1, 'создании': 1, 'перспективных': 1, 'школ': 1})
288;В России уже есть такие компании.;Строительство первых образовательных школ лидерского уровня начнём уже в этом году в Рязанской, Псковской, Белгородской, Нижегородской и Новгородской областях.;Counter({'в': 1, 'россии': 1, 'уже': 1, 'есть': 1, 'такие': 1, 'компании': 1});Counter({'в': 2, 'строительство': 1, 'первых': 1, 'образовательных': 1, 'школ': 1, 'лидерского': 1, 'уровня': 1, 'начнём': 1, 'уже': 1, 'этом': 1, 'году': 1, 'рязанской': 1, 'псковской': 1, 'белгородской': 1, 'нижегородской': 1, 'и': 1, 'новгородской': 1, 'областях': 1})
289;Они демонстрируют высокую эффективность, имеют экспортный потенциал, причём очень хороший потенциал, но при этом сталкиваются с нехваткой капитала, технологий, кадров, оборудования.;В дальнейшем они появятся во всех федеральных округах: на Дальнем Востоке, в Сибири, на Донбассе.;Counter({'потенциал': 2, 'они': 1, 'демонстрируют': 1, 'высокую': 1, 'эффективность': 1, 'имеют': 1, 'экспортный': 1, 'причём': 1, 'очень': 1, 'хороший': 1, 'но': 1, 'при': 1, 'этом': 1, 'сталкиваются': 1, 'с': 1, 'нехваткой': 1, 'капитала': 1, 'технологий': 1, 'кадров': 1, 'оборудования': 1});Counter({'в': 2, 'на': 2, 'дальнейшем': 1, 'они': 1, 'появятся': 1, 'во': 1, 'всех': 1, 'федеральных': 1, 'округах': 1, 'дальнем': 1, 'востоке': 1, 'сибири': 1, 'донбассе': 1})
290;Нужно максимально снять все эти ограничения, создать для таких компаний настоящий инвестиционный лифт, чтобы они пошли в рост, в разы повысили свою капитализацию и объёмы производства, закрепились на внешних рынках.;Всего до 2030 года откроем 12 таких школ.;Counter({'в': 2, 'нужно': 1, 'максимально': 1, 'снять': 1, 'все': 1, 'эти': 1, 'ограничения': 1, 'создать': 1, 'для': 1, 'таких': 1, 'компаний': 1, 'настоящий': 1, 'инвестиционный': 1, 'лифт': 1, 'чтобы': 1, 'они': 1, 'пошли': 1, 'рост': 1, 'разы': 1, 'повысили': 1, 'свою': 1, 'капитализацию': 1, 'и': 1, 'объёмы': 1, 'производства': 1, 'закрепились': 1, 'на': 1, 'внешних': 1, 'рынках': 1});Counter({'всего': 1, 'до': 1, '2030': 1, 'года': 1, 'откроем': 1, '12': 1, 'таких': 1, 'школ': 1})
291;Поручаю Агентству стратегических инициатив совместно с ВЭБом, РФПИ, другими институтами развития разработать такую программу и такую систему.;Теперь о содержании образования.;Counter({'такую': 2, 'поручаю': 1, 'агентству': 1, 'стратегических': 1, 'инициатив': 1, 'совместно': 1, 'с': 1, 'вэбом': 1, 'рфпи': 1, 'другими': 1, 'институтами': 1, 'развития': 1, 'разработать': 1, 'программу': 1, 'и': 1, 'систему': 1});Counter({'теперь': 1, 'о': 1, 'содержании': 1, 'образования': 1})
292;И уже в следующем году реализовать первый пилотный проект по поддержке несырьевых компаний России.;Учебная нагрузка для детей должна быть разумной и сбалансированной.;Counter({'и': 1, 'уже': 1, 'в': 1, 'следующем': 1, 'году': 1, 'реализовать': 1, 'первый': 1, 'пилотный': 1, 'проект': 1, 'по': 1, 'поддержке': 1, 'несырьевых': 1, 'компаний': 1, 'россии': 1});Counter({'учебная': 1, 'нагрузка': 1, 'для': 1, 'детей': 1, 'должна': 1, 'быть': 1, 'разумной': 1, 'и': 1, 'сбалансированной': 1})
293;Для стимулирования отечественных экспортёров в 2015 году заработает Центр кредитно-страховой поддержки экспорта.;И конечно, явно не на пользу дела, когда на уроках учат одному, а на экзаменах спрашивают другое.;Counter({'для': 1, 'стимулирования': 1, 'отечественных': 1, 'экспортёров': 1, 'в': 1, '2015': 1, 'году': 1, 'заработает': 1, 'центр': 1, 'поддержки': 1, 'экспорта': 1});Counter({'на': 3, 'и': 1, 'конечно': 1, 'явно': 1, 'не': 1, 'пользу': 1, 'дела': 1, 'когда': 1, 'уроках': 1, 'учат': 1, 'одному': 1, 'а': 1, 'экзаменах': 1, 'спрашивают': 1, 'другое': 1})
294;Его услугами смогут воспользоваться все несырьевые компании, от крупных до небольших.;Такое несоответствие, мягко говоря, между школьными программами и вопросами на экзаменах, – а такое бывает, к сожалению, – вынуждает родителей нанимать репетиторов, а ведь далеко не всем это по карману.;Counter({'его': 1, 'услугами': 1, 'смогут': 1, 'воспользоваться': 1, 'все': 1, 'несырьевые': 1, 'компании': 1, 'от': 1, 'крупных': 1, 'до': 1, 'небольших': 1});Counter({'такое': 2, 'а': 2, 'несоответствие': 1, 'мягко': 1, 'говоря': 1, 'между': 1, 'школьными': 1, 'программами': 1, 'и': 1, 'вопросами': 1, 'на': 1, 'экзаменах': 1, 'бывает': 1, 'к': 1, 'сожалению': 1, 'вынуждает': 1, 'родителей': 1, 'нанимать': 1, 'репетиторов': 1, 'ведь': 1, 'далеко': 1, 'не': 1, 'всем': 1, 'это': 1, 'по': 1, 'карману': 1})
295;В ближайшие три года объём капитализации Росэксимбанка, который должен работать по этому направлению, составит примерно 30 миллиардов.;Прошу коллег из Правительства совместно с педагогическим и родительским сообществами разобраться с этой проблемой, она очевидна.;Counter({'в': 1, 'ближайшие': 1, 'три': 1, 'года': 1, 'объём': 1, 'капитализации': 1, 'росэксимбанка': 1, 'который': 1, 'должен': 1, 'работать': 1, 'по': 1, 'этому': 1, 'направлению': 1, 'составит': 1, 'примерно': 1, '30': 1, 'миллиардов': 1});Counter({'с': 2, 'прошу': 1, 'коллег': 1, 'из': 1, 'правительства': 1, 'совместно': 1, 'педагогическим': 1, 'и': 1, 'родительским': 1, 'сообществами': 1, 'разобраться': 1, 'этой': 1, 'проблемой': 1, 'она': 1, 'очевидна': 1})
296;За три года российский экспорт продукции высокой степени переработки должен увеличиться в 1,5 раза.;В этой связи и о едином государственном экзамене.;Counter({'за': 1, 'три': 1, 'года': 1, 'российский': 1, 'экспорт': 1, 'продукции': 1, 'высокой': 1, 'степени': 1, 'переработки': 1, 'должен': 1, 'увеличиться': 1, 'в': 1, 'раза': 1});Counter({'в': 1, 'этой': 1, 'связи': 1, 'и': 1, 'о': 1, 'едином': 1, 'государственном': 1, 'экзамене': 1})
297;Понятно, что для развития несырьевых и других отраслей экономики потребуются значительные средства.;Он по-прежнему вызывает широкую общественную дискуссию и споры, мы всё об этом хорошо знаем.;Counter({'понятно': 1, 'что': 1, 'для': 1, 'развития': 1, 'несырьевых': 1, 'и': 1, 'других': 1, 'отраслей': 1, 'экономики': 1, 'потребуются': 1, 'значительные': 1, 'средства': 1});Counter({'он': 1, 'вызывает': 1, 'широкую': 1, 'общественную': 1, 'дискуссию': 1, 'и': 1, 'споры': 1, 'мы': 1, 'всё': 1, 'об': 1, 'этом': 1, 'хорошо': 1, 'знаем': 1})
298;И такими финансовыми ресурсами Россия обладает.;Действительно, механизм ЕГЭ должен совершенствоваться.;Counter({'и': 1, 'такими': 1, 'финансовыми': 1, 'ресурсами': 1, 'россия': 1, 'обладает': 1});Counter({'действительно': 1, 'механизм': 1, 'егэ': 1, 'должен': 1, 'совершенствоваться': 1})
299;У нас большой объём внутренних сбережений, они должны стать эффективными инвестициями.;Что предлагаю на этом этапе?;Counter({'у': 1, 'нас': 1, 'большой': 1, 'объём': 1, 'внутренних': 1, 'сбережений': 1, 'они': 1, 'должны': 1, 'стать': 1, 'эффективными': 1, 'инвестициями': 1});Counter({'что': 1, 'предлагаю': 1, 'на': 1, 'этом': 1, 'этапе': 1})
300;К 2018 году, несмотря на внешние ограничения, нужно довести годовой уровень инвестиций до 25 процентов от ВВП страны.;Предлагаю сделать ещё один шаг в этом направлении – дать выпускникам, что называется, второй шанс, а именно: по выбору самого ученика предоставить ему возможность пересдать ЕГЭ по одному из предметов, и сделать это до конца приёмной кампании в вузы, чтобы успеть подать документы уже с учётом пересдачи.;Counter({'к': 1, '2018': 1, 'году': 1, 'несмотря': 1, 'на': 1, 'внешние': 1, 'ограничения': 1, 'нужно': 1, 'довести': 1, 'годовой': 1, 'уровень': 1, 'инвестиций': 1, 'до': 1, '25': 1, 'процентов': 1, 'от': 1, 'ввп': 1, 'страны': 1});Counter({'сделать': 2, 'в': 2, 'по': 2, 'предлагаю': 1, 'ещё': 1, 'один': 1, 'шаг': 1, 'этом': 1, 'направлении': 1, 'дать': 1, 'выпускникам': 1, 'что': 1, 'называется': 1, 'второй': 1, 'шанс': 1, 'а': 1, 'именно': 1, 'выбору': 1, 'самого': 1, 'ученика': 1, 'предоставить': 1, 'ему': 1, 'возможность': 1, 'пересдать': 1, 'егэ': 1, 'одному': 1, 'из': 1, 'предметов': 1, 'и': 1, 'это': 1, 'до': 1, 'конца': 1, 'приёмной': 1, 'кампании': 1, 'вузы': 1, 'чтобы': 1, 'успеть': 1, 'подать': 1, 'документы': 1, 'уже': 1, 'с': 1, 'учётом': 1, 'пересдачи': 1})
301;Что это значит?;Такие житейские вещи, но они важны для людей.;Counter({'что': 1, 'это': 1, 'значит': 1});Counter({'такие': 1, 'житейские': 1, 'вещи': 1, 'но': 1, 'они': 1, 'важны': 1, 'для': 1, 'людей': 1})
302;Просто два слова скажу и расшифрую, о чём идёт речь.;Уважаемые коллеги!;Counter({'просто': 1, 'два': 1, 'слова': 1, 'скажу': 1, 'и': 1, 'расшифрую': 1, 'о': 1, 'чём': 1, 'идёт': 1, 'речь': 1});Counter({'уважаемые': 1, 'коллеги': 1})
303;Это значит, сколько мы сберегаем - столько и должны инвестировать.;В прошлом году экономика России росла темпами выше мировой.;Counter({'это': 1, 'значит': 1, 'сколько': 1, 'мы': 1, 'сберегаем': 1, 'столько': 1, 'и': 1, 'должны': 1, 'инвестировать': 1});Counter({'в': 1, 'прошлом': 1, 'году': 1, 'экономика': 1, 'россии': 1, 'росла': 1, 'темпами': 1, 'выше': 1, 'мировой': 1})
304;Наши сбережения должны работать на национальную экономику, идти на развитие, а не способствовать вывозу капитала.;По этому показателю мы опередили не только ведущие страны Евросоюза, но и все государства так называемой большой семёрки.;Counter({'на': 2, 'наши': 1, 'сбережения': 1, 'должны': 1, 'работать': 1, 'национальную': 1, 'экономику': 1, 'идти': 1, 'развитие': 1, 'а': 1, 'не': 1, 'способствовать': 1, 'вывозу': 1, 'капитала': 1});Counter({'по': 1, 'этому': 1, 'показателю': 1, 'мы': 1, 'опередили': 1, 'не': 1, 'только': 1, 'ведущие': 1, 'страны': 1, 'евросоюза': 1, 'но': 1, 'и': 1, 'все': 1, 'государства': 1, 'так': 1, 'называемой': 1, 'большой': 1, 'семёрки': 1})
305;Для этого необходимо значительно повысить устойчивость банковской системы (впрочем, ЦБ и занимается этим в последнее время достаточно настойчиво), а также снизить зависимость национального финансового рынка от внешних рисков.;Но что хочу в этой связи отметить?;Counter({'для': 1, 'этого': 1, 'необходимо': 1, 'значительно': 1, 'повысить': 1, 'устойчивость': 1, 'банковской': 1, 'системы': 1, 'впрочем': 1, 'цб': 1, 'и': 1, 'занимается': 1, 'этим': 1, 'в': 1, 'последнее': 1, 'время': 1, 'достаточно': 1, 'настойчиво': 1, 'а': 1, 'также': 1, 'снизить': 1, 'зависимость': 1, 'национального': 1, 'финансового': 1, 'рынка': 1, 'от': 1, 'внешних': 1, 'рисков': 1});Counter({'но': 1, 'что': 1, 'хочу': 1, 'в': 1, 'этой': 1, 'связи': 1, 'отметить': 1})
306;За счёт наших резервов, прежде всего Фонда национального благосостояния, предлагаю реализовать программу докапитализации ведущих отечественных банков, причём деньги будут предоставляться под принципиальное условие: направлять их на кредитование наиболее значимых проектов в реальном секторе экономики по доступной процентной ставке.;Хочу отметить вот что.;Counter({'за': 1, 'счёт': 1, 'наших': 1, 'резервов': 1, 'прежде': 1, 'всего': 1, 'фонда': 1, 'национального': 1, 'благосостояния': 1, 'предлагаю': 1, 'реализовать': 1, 'программу': 1, 'докапитализации': 1, 'ведущих': 1, 'отечественных': 1, 'банков': 1, 'причём': 1, 'деньги': 1, 'будут': 1, 'предоставляться': 1, 'под': 1, 'принципиальное': 1, 'условие': 1, 'направлять': 1, 'их': 1, 'на': 1, 'кредитование': 1, 'наиболее': 1, 'значимых': 1, 'проектов': 1, 'в': 1, 'реальном': 1, 'секторе': 1, 'экономики': 1, 'по': 1, 'доступной': 1, 'процентной': 1, 'ставке': 1});Counter({'хочу': 1, 'отметить': 1, 'вот': 1, 'что': 1})
307;Кроме того, банки должны будут обеспечить внедрение механизмов проектного финансирования.;Огромную роль в этом сыграл фундаментальный запас прочности, который был сделан за последние десятилетия.;Counter({'кроме': 1, 'того': 1, 'банки': 1, 'должны': 1, 'будут': 1, 'обеспечить': 1, 'внедрение': 1, 'механизмов': 1, 'проектного': 1, 'финансирования': 1});Counter({'огромную': 1, 'роль': 1, 'в': 1, 'этом': 1, 'сыграл': 1, 'фундаментальный': 1, 'запас': 1, 'прочности': 1, 'который': 1, 'был': 1, 'сделан': 1, 'за': 1, 'последние': 1, 'десятилетия': 1})
308;Что касается бюджетных расходов, то ключевыми требованиями здесь должны стать бережливость и максимальная отдача, правильный выбор приоритетов, учёт текущей экономической ситуации.;Сегодня доля несырьевых отраслей в структуре роста уверенно превышает 90 процентов, то есть экономика становится более сложной, технологичной, а значит, гораздо более устойчивой.;Counter({'что': 1, 'касается': 1, 'бюджетных': 1, 'расходов': 1, 'то': 1, 'ключевыми': 1, 'требованиями': 1, 'здесь': 1, 'должны': 1, 'стать': 1, 'бережливость': 1, 'и': 1, 'максимальная': 1, 'отдача': 1, 'правильный': 1, 'выбор': 1, 'приоритетов': 1, 'учёт': 1, 'текущей': 1, 'экономической': 1, 'ситуации': 1});Counter({'более': 2, 'сегодня': 1, 'доля': 1, 'несырьевых': 1, 'отраслей': 1, 'в': 1, 'структуре': 1, 'роста': 1, 'уверенно': 1, 'превышает': 1, '90': 1, 'процентов': 1, 'то': 1, 'есть': 1, 'экономика': 1, 'становится': 1, 'сложной': 1, 'технологичной': 1, 'а': 1, 'значит': 1, 'гораздо': 1, 'устойчивой': 1})
309;На ближайшие три года мы должны поставить задачу ежегодно снижать издержки и неэффективные траты бюджета не менее чем на 5 процентов от общих расходов в реальном выражении.;Сегодня Россия – крупнейшая экономика Европы по размеру валового внутреннего продукта, по паритету покупательной способности и пятая в мире.;Counter({'на': 2, 'ближайшие': 1, 'три': 1, 'года': 1, 'мы': 1, 'должны': 1, 'поставить': 1, 'задачу': 1, 'ежегодно': 1, 'снижать': 1, 'издержки': 1, 'и': 1, 'неэффективные': 1, 'траты': 1, 'бюджета': 1, 'не': 1, 'менее': 1, 'чем': 1, '5': 1, 'процентов': 1, 'от': 1, 'общих': 1, 'расходов': 1, 'в': 1, 'реальном': 1, 'выражении': 1});Counter({'по': 2, 'сегодня': 1, 'россия': 1, 'крупнейшая': 1, 'экономика': 1, 'европы': 1, 'размеру': 1, 'валового': 1, 'внутреннего': 1, 'продукта': 1, 'паритету': 1, 'покупательной': 1, 'способности': 1, 'и': 1, 'пятая': 1, 'в': 1, 'мире': 1})
